# Sub-spectrum 02 — bands at 110, 215, 330, 450 cm^-1
# Wavenumber(cm-1)   Intensity   Error
    70.000        0.68274    5.00000
    71.000        3.17932    5.00000
    72.000       -2.25260    5.00000
    73.000       -2.05857    5.00000
    74.000        0.56561    5.00000
    75.000        5.56723    5.00000
    76.000       -0.55131    5.00000
    77.000       11.29153    5.00000
    78.000        3.78361    5.00000
    79.000        2.02514    5.00000
    80.000       10.02450    5.00000
    81.000        6.19525    5.00000
    82.000        5.25380    5.00000
    83.000        2.16903    5.00000
    84.000       13.40628    5.00000
    85.000        9.02702    5.00000
    86.000        4.73417    5.00000
    87.000       -1.16098    5.00000
    88.000        9.80014    5.00000
    89.000        3.71715    5.00000
    90.000        2.70707    5.00000
    91.000       12.15831    5.00000
    92.000       17.71383    5.00000
    93.000       26.02464    5.00000
    94.000       24.94634    5.00000
    95.000       32.15344    5.00000
    96.000       27.28367    5.00000
    97.000       39.29818    5.00000
    98.000       46.71262    5.00000
    99.000       57.70272    5.00000
   100.000       61.78417    5.00000
   101.000       73.39772    5.00000
   102.000       75.19655    5.00000
   103.000       87.78257    5.00000
   104.000       96.01764    5.00000
   105.000       95.04528    5.00000
   106.000      108.64864    5.00000
   107.000      111.51519    5.00000
   108.000      107.59010    5.00000
   109.000      124.37241    5.00000
   110.000      118.60910    5.00000
   111.000      115.32566    5.00000
   112.000      115.23842    5.00000
   113.000      113.82972    5.00000
   114.000      115.33948    5.00000
   115.000      100.50077    5.00000
   116.000       96.34897    5.00000
   117.000       92.91171    5.00000
   118.000       80.44375    5.00000
   119.000       74.78611    5.00000
   120.000       58.89485    5.00000
   121.000       57.32792    5.00000
   122.000       45.89061    5.00000
   123.000       44.87966    5.00000
   124.000       28.49999    5.00000
   125.000       24.33832    5.00000
   126.000       29.99869    5.00000
   127.000       18.76109    5.00000
   128.000       14.64942    5.00000
   129.000       14.08830    5.00000
   130.000        7.99449    5.00000
   131.000       16.25971    5.00000
   132.000        1.86291    5.00000
   133.000        6.15476    5.00000
   134.000        7.67833    5.00000
   135.000        4.64787    5.00000
   136.000        0.53722    5.00000
   137.000       -0.29453    5.00000
   138.000        5.76770    5.00000
   139.000       -1.84421    5.00000
   140.000        6.26508    5.00000
   141.000       -4.81539    5.00000
   142.000       -0.16178    5.00000
   143.000        2.63143    5.00000
   144.000       -3.95068    5.00000
   145.000        5.44946    5.00000
   146.000        1.99189    5.00000
   147.000       -3.18728    5.00000
   148.000       -5.68152    5.00000
   149.000       -5.98541    5.00000
   150.000        2.03586    5.00000
   151.000       -4.05777    5.00000
   152.000       -5.14560    5.00000
   153.000        0.48116    5.00000
   154.000       12.98880    5.00000
   155.000        2.95810    5.00000
   156.000        5.35880    5.00000
   157.000        2.58602    5.00000
   158.000        5.41973    5.00000
   159.000       -5.22426    5.00000
   160.000       -0.67118    5.00000
   161.000        2.78206    5.00000
   162.000        1.38329    5.00000
   163.000        0.51411    5.00000
   164.000       -1.85049    5.00000
   165.000        0.19545    5.00000
   166.000       -2.37141    5.00000
   167.000      -10.59353    5.00000
   168.000       -4.43684    5.00000
   169.000        3.93822    5.00000
   170.000        9.37405    5.00000
   171.000       10.69002    5.00000
   172.000        2.14446    5.00000
   173.000        6.17179    5.00000
   174.000        6.29507    5.00000
   175.000       -1.64901    5.00000
   176.000       -6.61267    5.00000
   177.000        2.10484    5.00000
   178.000       -6.77732    5.00000
   179.000        0.52880    5.00000
   180.000        5.27729    5.00000
   181.000       -4.73933    5.00000
   182.000        2.66621    5.00000
   183.000        8.87226    5.00000
   184.000        4.67655    5.00000
   185.000        5.71419    5.00000
   186.000        7.91630    5.00000
   187.000       12.38642    5.00000
   188.000        4.89287    5.00000
   189.000       10.79323    5.00000
   190.000        4.95666    5.00000
   191.000        3.33248    5.00000
   192.000        8.61652    5.00000
   193.000        5.23239    5.00000
   194.000        6.90902    5.00000
   195.000        8.60453    5.00000
   196.000        2.45673    5.00000
   197.000       17.24373    5.00000
   198.000       13.74031    5.00000
   199.000       23.49084    5.00000
   200.000       35.92116    5.00000
   201.000       31.42038    5.00000
   202.000       37.38695    5.00000
   203.000       53.68032    5.00000
   204.000       56.98363    5.00000
   205.000       67.04544    5.00000
   206.000       68.66303    5.00000
   207.000       82.62567    5.00000
   208.000       83.83445    5.00000
   209.000       91.93635    5.00000
   210.000      105.74112    5.00000
   211.000      106.32601    5.00000
   212.000      118.56576    5.00000
   213.000      130.73049    5.00000
   214.000      112.83934    5.00000
   215.000      118.35369    5.00000
   216.000      126.86917    5.00000
   217.000      118.04334    5.00000
   218.000      120.53061    5.00000
   219.000      104.26086    5.00000
   220.000      104.40824    5.00000
   221.000       94.55348    5.00000
   222.000       87.95531    5.00000
   223.000       80.52725    5.00000
   224.000       64.32409    5.00000
   225.000       56.77493    5.00000
   226.000       61.22929    5.00000
   227.000       48.30592    5.00000
   228.000       40.60587    5.00000
   229.000       33.78017    5.00000
   230.000       30.42717    5.00000
   231.000       18.21856    5.00000
   232.000       15.03326    5.00000
   233.000       23.20546    5.00000
   234.000       14.65463    5.00000
   235.000       15.85678    5.00000
   236.000        6.70594    5.00000
   237.000       15.10214    5.00000
   238.000        8.72323    5.00000
   239.000        8.42125    5.00000
   240.000        7.97000    5.00000
   241.000        0.60656    5.00000
   242.000       -5.25006    5.00000
   243.000       -1.71286    5.00000
   244.000       11.47138    5.00000
   245.000        9.53862    5.00000
   246.000        1.06329    5.00000
   247.000        1.08881    5.00000
   248.000        7.60869    5.00000
   249.000        1.43559    5.00000
   250.000       -4.34752    5.00000
   251.000        8.36346    5.00000
   252.000        4.32183    5.00000
   253.000      -10.73436    5.00000
   254.000        0.20237    5.00000
   255.000        2.41596    5.00000
   256.000        4.04041    5.00000
   257.000        2.33791    5.00000
   258.000       -1.65287    5.00000
   259.000        0.90086    5.00000
   260.000        2.91211    5.00000
   261.000        0.06075    5.00000
   262.000       -0.49221    5.00000
   263.000        7.59779    5.00000
   264.000       -3.42229    5.00000
   265.000       -0.46011    5.00000
   266.000       -8.88979    5.00000
   267.000        3.95348    5.00000
   268.000        5.37464    5.00000
   269.000        3.96293    5.00000
   270.000        5.79843    5.00000
   271.000        3.40552    5.00000
   272.000        2.90877    5.00000
   273.000        3.56238    5.00000
   274.000       -0.14520    5.00000
   275.000        7.13392    5.00000
   276.000       -0.54738    5.00000
   277.000       -6.11078    5.00000
   278.000        5.45775    5.00000
   279.000       10.47263    5.00000
   280.000       -3.56884    5.00000
   281.000        0.73920    5.00000
   282.000       -2.16164    5.00000
   283.000       -0.61616    5.00000
   284.000        1.54156    5.00000
   285.000       -4.87020    5.00000
   286.000       -0.01798    5.00000
   287.000       -5.92407    5.00000
   288.000       -1.39545    5.00000
   289.000       -4.43981    5.00000
   290.000       -3.75440    5.00000
   291.000       -7.00206    5.00000
   292.000        7.75795    5.00000
   293.000        4.27831    5.00000
   294.000       -7.77295    5.00000
   295.000       -1.07720    5.00000
   296.000       -1.33931    5.00000
   297.000       -1.31970    5.00000
   298.000       -4.95742    5.00000
   299.000        6.21551    5.00000
   300.000        0.66167    5.00000
   301.000        5.21809    5.00000
   302.000        5.79699    5.00000
   303.000       10.38942    5.00000
   304.000       -5.13271    5.00000
   305.000       13.16647    5.00000
   306.000       11.47878    5.00000
   307.000        8.82369    5.00000
   308.000       18.90165    5.00000
   309.000        9.28116    5.00000
   310.000       13.93493    5.00000
   311.000        8.06149    5.00000
   312.000       19.76473    5.00000
   313.000       17.74292    5.00000
   314.000       17.98354    5.00000
   315.000       34.72859    5.00000
   316.000       27.12101    5.00000
   317.000       33.79362    5.00000
   318.000       38.44906    5.00000
   319.000       41.87077    5.00000
   320.000       54.95574    5.00000
   321.000       62.94932    5.00000
   322.000       68.12916    5.00000
   323.000       61.59917    5.00000
   324.000       85.21026    5.00000
   325.000       84.67658    5.00000
   326.000       85.85921    5.00000
   327.000       99.50719    5.00000
   328.000      102.70299    5.00000
   329.000       96.77351    5.00000
   330.000      115.06128    5.00000
   331.000       95.93977    5.00000
   332.000       91.22176    5.00000
   333.000       90.71697    5.00000
   334.000       99.04088    5.00000
   335.000       85.54355    5.00000
   336.000       78.30406    5.00000
   337.000       73.08434    5.00000
   338.000       63.36629    5.00000
   339.000       55.79701    5.00000
   340.000       49.08333    5.00000
   341.000       49.17790    5.00000
   342.000       44.52569    5.00000
   343.000       28.46076    5.00000
   344.000       29.82699    5.00000
   345.000       28.06969    5.00000
   346.000       14.81445    5.00000
   347.000       14.37353    5.00000
   348.000        8.88408    5.00000
   349.000        5.27873    5.00000
   350.000       10.31601    5.00000
   351.000        4.55359    5.00000
   352.000       10.11612    5.00000
   353.000        5.78681    5.00000
   354.000        7.17215    5.00000
   355.000        2.98508    5.00000
   356.000        0.73840    5.00000
   357.000        3.02923    5.00000
   358.000        3.10727    5.00000
   359.000       -0.68429    5.00000
   360.000        4.74016    5.00000
   361.000        6.14127    5.00000
   362.000        3.03061    5.00000
   363.000       10.66411    5.00000
   364.000       -1.18879    5.00000
   365.000        4.46827    5.00000
   366.000       -0.27267    5.00000
   367.000        2.86102    5.00000
   368.000       -2.53556    5.00000
   369.000        7.12421    5.00000
   370.000        2.37012    5.00000
   371.000        7.39881    5.00000
   372.000       -4.93989    5.00000
   373.000       -1.11915    5.00000
   374.000       -3.15222    5.00000
   375.000       -1.38298    5.00000
   376.000       -2.21662    5.00000
   377.000        0.61670    5.00000
   378.000        1.10919    5.00000
   379.000        0.96932    5.00000
   380.000       -1.62192    5.00000
   381.000        2.07675    5.00000
   382.000        5.50397    5.00000
   383.000       -3.39699    5.00000
   384.000        1.10946    5.00000
   385.000        0.72735    5.00000
   386.000        3.43417    5.00000
   387.000        0.76976    5.00000
   388.000        1.00931    5.00000
   389.000       -3.86736    5.00000
   390.000        1.19904    5.00000
   391.000       -3.51459    5.00000
   392.000        3.67962    5.00000
   393.000        0.59324    5.00000
   394.000        1.31889    5.00000
   395.000       -3.32400    5.00000
   396.000        5.16526    5.00000
   397.000        4.62484    5.00000
   398.000        5.49007    5.00000
   399.000       12.34108    5.00000
   400.000        0.96594    5.00000
   401.000        7.27279    5.00000
   402.000        0.66696    5.00000
   403.000        3.29018    5.00000
   404.000        3.18370    5.00000
   405.000        2.72117    5.00000
   406.000        4.73504    5.00000
   407.000       -0.02560    5.00000
   408.000        1.75440    5.00000
   409.000        4.28790    5.00000
   410.000       10.41895    5.00000
   411.000       -2.45614    5.00000
   412.000       -7.19032    5.00000
   413.000       -0.48525    5.00000
   414.000        2.49148    5.00000
   415.000        3.03739    5.00000
   416.000        2.76105    5.00000
   417.000        8.37171    5.00000
   418.000        7.52079    5.00000
   419.000        2.60803    5.00000
   420.000        0.75941    5.00000
   421.000        1.67915    5.00000
   422.000        1.99238    5.00000
   423.000        3.09057    5.00000
   424.000       -3.09805    5.00000
   425.000        3.13639    5.00000
   426.000        4.15772    5.00000
   427.000        6.38425    5.00000
   428.000        7.35949    5.00000
   429.000       13.60704    5.00000
   430.000        9.58226    5.00000
   431.000       12.49417    5.00000
   432.000       20.36636    5.00000
   433.000       20.04793    5.00000
   434.000       26.54070    5.00000
   435.000       33.76056    5.00000
   436.000       38.23648    5.00000
   437.000       43.85562    5.00000
   438.000       48.83912    5.00000
   439.000       61.11672    5.00000
   440.000       67.02492    5.00000
   441.000       72.45318    5.00000
   442.000       83.23394    5.00000
   443.000       86.83763    5.00000
   444.000       96.70970    5.00000
   445.000      100.04384    5.00000
   446.000      113.05469    5.00000
   447.000      128.90560    5.00000
   448.000      123.75676    5.00000
   449.000      133.14096    5.00000
   450.000      130.08590    5.00000
   451.000      125.69616    5.00000
   452.000      133.22189    5.00000
   453.000      125.12584    5.00000
   454.000      107.67791    5.00000
   455.000      114.64357    5.00000
   456.000       96.11730    5.00000
   457.000       92.00807    5.00000
   458.000       87.29347    5.00000
   459.000       73.43863    5.00000
   460.000       71.69785    5.00000
   461.000       61.46498    5.00000
   462.000       41.88379    5.00000
   463.000       40.18487    5.00000
   464.000       37.47457    5.00000
   465.000       27.47176    5.00000
   466.000       24.30515    5.00000
   467.000       25.14673    5.00000
   468.000       19.15899    5.00000
   469.000        9.99744    5.00000
   470.000       13.02347    5.00000
   471.000        7.08903    5.00000
   472.000        2.45323    5.00000
   473.000        1.57131    5.00000
   474.000        7.60450    5.00000
   475.000        5.18318    5.00000
   476.000        4.66898    5.00000
   477.000       -1.64152    5.00000
   478.000        2.71945    5.00000
   479.000       -1.91734    5.00000
   480.000       -1.67153    5.00000
   481.000        1.87587    5.00000
   482.000       -4.43557    5.00000
   483.000        5.63848    5.00000
   484.000       14.56215    5.00000
   485.000        4.27763    5.00000
   486.000       -3.35863    5.00000
   487.000        0.38615    5.00000
   488.000       -6.13729    5.00000
   489.000       -0.34045    5.00000
   490.000        4.00046    5.00000
   491.000        4.33446    5.00000
   492.000       -3.84106    5.00000
   493.000        2.74919    5.00000
   494.000        6.97636    5.00000
   495.000        9.91512    5.00000
   496.000       -2.41496    5.00000
   497.000       -3.27901    5.00000
   498.000        1.27030    5.00000
   499.000      -13.68306    5.00000
   500.000       -1.73593    5.00000
   501.000       -0.47135    5.00000
   502.000       -1.44668    5.00000
   503.000       -7.10079    5.00000
   504.000       -0.43878    5.00000
   505.000       -3.12194    5.00000
   506.000        4.52222    5.00000
   507.000       -3.88241    5.00000
   508.000       -0.72526    5.00000
   509.000       -0.50052    5.00000
   510.000        3.48099    5.00000
   511.000      -12.10640    5.00000
   512.000       -1.09901    5.00000
   513.000        4.38412    5.00000
   514.000       -1.23961    5.00000
   515.000       -7.08224    5.00000
   516.000        2.16980    5.00000
   517.000        2.20533    5.00000
   518.000       -0.84480    5.00000
   519.000       -5.30495    5.00000
   520.000       -3.22238    5.00000
   521.000       -1.10026    5.00000
   522.000       -3.92109    5.00000
   523.000       -9.15578    5.00000
   524.000       -3.41231    5.00000
   525.000        0.11485    5.00000
   526.000       -2.12187    5.00000
   527.000        0.02583    5.00000
   528.000        0.81261    5.00000
   529.000        4.86818    5.00000
   530.000       11.39574    5.00000
   531.000        4.02715    5.00000
   532.000       -6.66145    5.00000
   533.000      -12.93231    5.00000
   534.000       -0.12739    5.00000
   535.000        0.69462    5.00000
   536.000       -5.47869    5.00000
   537.000        1.68408    5.00000
   538.000       -3.51731    5.00000
   539.000        2.32442    5.00000
   540.000       -1.32263    5.00000
   541.000        2.28635    5.00000
   542.000       -8.42267    5.00000
   543.000       -1.90458    5.00000
   544.000       -0.46060    5.00000
   545.000       -6.84721    5.00000
   546.000        9.68380    5.00000
   547.000       -2.43667    5.00000
   548.000        7.21230    5.00000
   549.000       -3.06389    5.00000
   550.000       -0.89653    5.00000
   551.000        6.16848    5.00000
   552.000        1.76386    5.00000
   553.000        1.20088    5.00000
   554.000        1.56632    5.00000
   555.000       -6.59809    5.00000
   556.000       -1.71886    5.00000
   557.000       -4.55701    5.00000
   558.000        1.20869    5.00000
   559.000       -2.50186    5.00000
   560.000       -0.00558    5.00000
   561.000       -0.17507    5.00000
   562.000        0.02631    5.00000
   563.000        0.03127    5.00000
   564.000       -3.05997    5.00000
   565.000       -5.07109    5.00000
   566.000       -3.12579    5.00000
   567.000        5.55083    5.00000
   568.000        2.06116    5.00000
   569.000        3.12240    5.00000
   570.000        7.08481    5.00000
   571.000       -5.71479    5.00000
   572.000        2.72959    5.00000
   573.000       -5.19802    5.00000
   574.000       -1.49674    5.00000
